City,CityAuxialary,FixCity
Bet Alfa,Bet Alfa,Beit Alfa
Shadmot Devora,Shadmot Devora,A that resembles a bee
Golan Heights,Golan Heights,the Golan Heights
Addirim,Addirim,Adirim
Givat Avni,Givat Avni,Givat Avni
Kefar Yona,Kefar Yona,Kfar Yona
Jaffa Tel Aviv,Jaffa Tel Aviv,Jaffa
Givat Rambam,Givat Rambam,Givat Rambam
Maale Adumim,Maale Adumim,Maale Adumim
Hefzi Bah,Hefzi Bah,I want
Kefar Hittim,Kefar Hittim,Kfar Hitit
Malkiyya,Malkiyya,Malkia
Kallanit,Kallanit,Kalnit
Kefar Ruppin,Kefar Ruppin,Kfar Rupin
Givot Bar,Givot Bar,Givat Bar
Kefar Shemaryahu,Kefar Shemaryahu,Kfar Shmariahu
Ramat Shlomo,Ramat Shlomo,Ramat Shlomo
Sede Eliezer,Sede Eliezer,Sde Eliezer
Shaar Hagolan,Shaar Hagolan,Shaar Golan
Kammon,Kammon,Kamon
Gevulot,Gevulot,Givat
Qiryat Sara,Qiryat Sara,Kiryat Sara
Sede Yoav,Sede Yoav,Sde Yoav
Bat Gallim,Bat Gallim,Bat Galim
Givat Brenner,Givat Brenner,Givat Brenner
Bet HaShitta,Bet HaShitta,Beit al-Hasita
Sappir,Sappir,Sapir
Gidona,Gidona,Giduna
Rumat Heib,Rumat Heib,Romet Hive
Givat Olga,Givat Olga,Givat Olga
Kefar Giladi,Kefar Giladi,Kfar Giladi
Beer Milka,Beer Milka,Beer Milka
Bazra,Bazra,Bazara
Tabash,Tabash,Tevesh
Assaf Harofeh,Assaf Harofeh,was collected by the doctor
Ashdot Yaaqov,Ashdot Yaaqov,Ashdot Jacob
HaZoreim,HaZoreim,the sowers
Zova,Zova,Zuba
Zeelim,Zeelim,Tzalim
Yuvallim,Yuvallim,tributaries
Harish,Harish,plowed
Hazeva,Hazeva,Hezba
Yiron,Yiron,Yaraon
Yifat,Yifat,Yifa
Hazor Ashdod,Hazor Ashdod,Hazor Ashdod
Almog,Almog,Almog
Yerushalayim,Yerushalayim,Jerusalem
Alonei Habashan,Alonei Habashan,Aloni Hashan
Amikam,Amikam,Amikam
Yajur,Yajur,Yajur
Givat Shemuel,Givat Shemuel,Givat Shmuel
Umm el Qutuf,Umm el Qutuf,Umm al Kutuf
Ammiad,Ammiad,Amiad
Telamim,Telamim,Ptolemy
Kadita,Kadita,Kadita
Kefar Tavor,Kefar Tavor,Kfar Tabor
Mashen,Mashen,A support
En Harod,En Harod,Ann Harod said
Even Sappir,Even Sappir,Ibn Sapir
Daverat,Daverat,Daubert
Kidmat Tsvi,Kidmat Tsvi,A in front of a deer
Kinar,Kinar,Keener
Nahal Yaalon,Nahal Yaalon,Nahal Ya'alon
Nachsholim,Nachsholim,A upheavals
Lohame HaGetaot,Lohame HaGetaot,Lohm the ghettos
Gan Shelomo,Gan Shelomo,Gan Shlomo
Maale Gilboa,Maale Gilboa,Maale Gilboa
Mitspe Netofa,Mitspe Netofa,Mitzpe Netufa
Ein HaBesor,Ein HaBesor,Ein Hashur
Maalot,Maalot,Maalot
Qiryat Binyamin,Qiryat Binyamin,Kiryat Binyamin
Agur,Agur,Aghor
Elifaz,Elifaz,Eliphaz
Even Menahem,Even Menahem,Ibn Menachem
Elon,Elon,Elon
Maor,Maor,Maor
En Gev,En Gev,Ein Gav
En Hod,En Hod,Anne Hood
Melilot,Melilot,at night
Meir Shefeya,Meir Shefeya,Meir Shafia
Mazzuva,Mazzuva,is located
HaKarmel,HaKarmel,Carmel
Nes Ziyyona,Nes Ziyyona,Ness Ziona
Neve Ativ,Neve Ativ,Neve Ativ
Newe Avot,Newe Avot,New Ancestral
Kerem Maharal,Kerem Maharal,Kerem from the Haral
Qiryat Anavim,Qiryat Anavim,Kiryat Anavim
Kfar Adumim,Kfar Adumim,Kfar Adumim
Kfar Haruv,Kfar Haruv,Kfar Harob
Bet Shemuel,Bet Shemuel,Beit Shmuel
Bet Yannay,Bet Yannay,Beit Yanai
Kfar Rut,Kfar Rut,Kfar Ruth
Biriyya,Biriyya,Birya
Paran,Paran,Paran
Ozem,Ozem,is booming
Khirbet Minim,Khirbet Minim,is destroying species
Buqeia,Buqeia,Bukia
Ortal,Ortal,Ortal
Or Aqiva,Or Aqiva,Or Akiva
Omer,Omer,Omar said
Chorazim,Chorazim,Korazim
Kibbutz Ginnosar,Kibbutz Ginnosar,Kibbutz Ginosar
Kibbutz Shefayim,Kibbutz Shefayim,Kibbutz Shafiim
Nizzane Sinay,Nizzane Sinay,Nizan Sinai
Gerofit,Gerofit,is Jarofit
Newe Hayyim,Newe Hayyim,New Haim
Qiryat Haroshet,Qiryat Haroshet,Kiryat Harushot
