hotelName,hotelAddress,Street,City,hotelDescription,pricePerNight,scoreGeneral,scoreValueForMoney,scoreLocation,scoreClean,distanceTlv
Daria- Authentic Israeli Experience,"Haon village, HaOn",Haon village,HaOn,"Located in HaOn and within 47 km of Al Yarmok University, Daria- Authentic Israeli Experience features a private beach area, non-smoking rooms, and free WiFi. Featuring family rooms, this property also provides guests with a childrens playground. …Read more",594.0,7.5,6.8,9.2,7.1,106.7
Rephael House Boutique Hotel,"24 Rothschild Street, Rishon LeẔiyyon",24 Rothschild Street,Rishon LeZiyyon,"Rephael House Boutique Hotel is set in Rishon LeẔiyyon, 17 km from Suzanne Dellal Center for Dance and Theater and 17 km from Meir Park. The property is located 17 km from Independence Hall Museum, 17 km from Nachalat Benyamin Crafts Fair and …Read more",692.0,9.5,9.4,9.3,9.6,
Akotika boutique,"HAHagana 2, Akko",HAHagana 2,Akko,"Akotika boutique features a shared lounge, terrace, a restaurant and bar in Akko. Among the facilities at this property are a concierge service and free shuttle service, along with free WiFi throughout the property. The property is non-smoking …Read more",989.0,9.0,8.6,9.4,9.1,
Nir David Country Lodge,"Kibbutz Nir David, Nir Dawid",Kibbutz Nir David,Nir Dawid,"Nir David Country Lodge offers rustic wood cabins in a kibbutz situated along the Asi River, outside the city of Beit Shean. Each unit features a hydromassage bath and a patio. Country Lodge Nir David features an indoor heated poolAll accommodation …Read more",833.0,9.0,8.5,9.5,8.9,
Mantur Almog Dead Sea by Selina,"Kibbutz Almog Arovat Jordan, Almog, Almog",Kibbutz Almog Arovat Jordan,Almog,"Set in Almog, 18 km from Allenby/King Hussein Bridge, Mantur Almog Dead Sea by Selina offers accommodation with a seasonal outdoor swimming pool, free private parking, a garden and a shared lounge. With a restaurant, the 3-star hotel has air-conditioned …Read more",591.0,7.8,7.2,7.7,7.7,
Michel House,"6098  No. 6, Nazareth",6098  No. 6,Nazareth,"Featuring free WiFi throughout the property, Michel House is located in Nazareth, 200 m from Nazareth Old City. Marys Well is a 5-minute walk away.Each room at this inn is air conditioned and features a flat-screen TV with satellite channels. …Read more",447.0,9.3,9.3,9.7,9.5,84.6
Leonardo Hotel Negev,"4 Henrietta Sold Street, Beer Sheva",4 Henrietta Sold Street,Beer Sheva,"The Leonardo Hotel Negev provides comfortable and elegant guest rooms in the heart of Beer-Sheva city centre, next to the central bus station and a large shopping mall.The hotel has an outdoor swimming pool. The wellness area features a sauna …Read more",808.0,7.4,8.8,9.3,9.2,
Selina Tzukim - Soft opening,"Kibbutz Tzukim, Zuqim",Kibbutz Tzukim,Zuqim,"Selina Tzukim - Soft opening is a 3-star property set in Zuqim. Featuring a garden, the 3-star hotel has air-conditioned rooms with free WiFi. The accommodation offers a shared kitchen, and organising tours for guests.All guest rooms feature …Read more",475.0,8.8,8.7,9.3,9.1,
Mantur Metula by Selina,"Harishonim St., Metulla",Harishonim St.,Metulla,"Set in the town of Metula on Israeli-Lebanese border, Mantur Metula by Selina offers a summer outdoor pool, free Wi-Fi and free parking. Mount Hermon is a 30-minute drive away.Some rooms feature a minibar and TV with a balcony.A co-work desk …Read more",288.0,8.1,8.0,8.9,8.2,
Selina Ramon,"806000 Mizpe Ramon, Israel., Mitzpe Ramon",806000 Mizpe Ramon,Mitzpe Ramon,"Located in Mitzpe Ramon, Selina Ramon provides a shared lounge. There is a sun terrace and guests can make use of free WiFi and free private parking.Guests at the hotel can enjoy an à la carte breakfast.The nearest airport is Eilat-Ramon Airport, …Read more",340.0,8.6,7.9,9.3,8.9,163.2
פינה במעיין,"11 HaMoshava Street, Mishmār Hāyardin",11 HaMoshava Street,Mishmar Hayardin,"Set in Mishmār Hāyardin, 15 km from Israel Bible Museum and 16 km from Mount Canaan, פינה במעיין offers accommodation with free WiFi, air conditioning, an outdoor swimming pool and a garden. The accommodation features a hot tub and a spa bath.The …Read more",803.0,9.6,9.8,9.9,9.7,
Kedma by Isrotel Design,"Sde Boker, Sede Boqer",Sde Boker,Sede Boqer,"Boasting a seasonal outdoor pool, Kedma by Isrotel Design offers accommodation in Sede Boqer. Guests can enjoy a meal at the hotels restaurant or a drink a the bar. A 24-hour front desk and room service are also available.All rooms feature …Read more",1015.0,8.4,7.8,8.6,8.9,
Galilee Hills - Resort & Suites,"Maghar israel North District, Maghār",Maghar israel North District,Maghar,"Boasting air-conditioned accommodation with a pool with a view, mountain view and a balcony, Galilee Hills Boutique Resort -SunSide Villa is situated in Maghār. This recently renovated holiday home is located 38 km from The Bahá’í Gardens in Akko …Read more",900.0,9.5,9.4,9.2,9.5,107.6
Indigolan,"מעלה גמלא, Maale Gamla",מעלה גמלא,Maale Gamla,"Set in Maale Gamla in the North District Israel region and Mt of Beatitudes reachable within 23 km, Indigolan offers accommodation with free WiFi, BBQ facilities, a garden and free private parking. The accommodation is air conditioned and has …Read more",731.0,8.3,8.0,8.8,8.4,
Atnachta BaGilboa,"Tel Giborim 53, Addirim",Tel Giborim 53,Addirim,"Set 47 km from Haifa’s Municipal Theater, Atnachta BaGilboa offers an outdoor swimming pool, a garden and air-conditioned accommodation with a balcony and free WiFi. The accommodation features a spa bath.Each unit comes with a sofa bed, a flat-screen …Read more",577.0,9.8,9.8,9.8,9.5,
Yarden Estate Boutique Hotel,"Yesud HaMaala, Yesod Hamaala",Yesud HaMaala,Yesod Hamaala,"Yarden Estate Boutique Hotel has a seasonal outdoor swimming pool, garden, a shared lounge and terrace in Yesod Hamaala. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout …Read more",575.0,7.5,7.4,8.5,7.8,
Mantur Parod by Selina,"Kibbutz Parod, Parod",Kibbutz Parod,Parod,"Offering a summer swimming pool, Mantur Parod by Selina is set in a Kibbutz in the Upper Galilee area. It has a peaceful setting 20 minutes drive from Rosh Pina and the Sea of Galilee.Mantur Parod by Selina provides free Wi-Fi in communal areas, …Read more",618.0,8.2,8.0,9.1,8.1,112.9
Pereh Mountain Resort,"Bet HaMekhes Junction, Gadot",Bet HaMekhes Junction,Gadot,"Situated in Gadot, 23 km from Israel Bible Museum, Pereh Mountain Resort features accommodation with an outdoor swimming pool, free private parking, a garden and a restaurant. Featuring a bar, the property is located within 23 km of Mount Canaan. …Read more",1894.0,9.6,8.9,9.6,9.6,130.5
Arabesque Arts & Residency,"Elharizi 11/270, post box 1115, Akko",Elharizi 11/270,Akko,"Arabesque: An Arts and Residency Center in Old Acre is located in the heart of the Old City of Acre, 2 minutes walk from the marina. WiFi is free throughout.All with original stone walls, rooms here are equipped with a flat-screen TV with satellite …Read more",744.0,9.4,9.2,9.4,9.6,
Gomeh by Isrotel Design,"Hotels Road, Migdal shore 1, Tiberias",Hotels Road,Tiberias,"Gomeh by Isrotel Design Hotel in Migdal provides accommodation with a seasonal outdoor swimming pool, a fitness centre and a bar. Among the facilities of this property are a dining hall, a 24-hour front desk, along with free WiFi throughout. Each …Read more",945.0,8.5,8.2,9.2,8.7,105.4
Zohar Badeshe,"Kibbutz Dalia, Dalia",Kibbutz Dalia,Dalia,"Zohar Badeshe is surrounded by vineyards and forests in Dalia, between the valleys and Mount Carmel. It offers a seasonal swimming pool and plenty of common areas for events.Rooms and Cabins are air-conditioned and come with cable TV, free Wi-Fi …Read more",417.0,8.6,8.4,8.9,8.9,63.3
Pastoral Hotel - Kfar Blum,"Kibbutz Kfar Blum, Kefar Blum",Kibbutz Kfar Blum,Kefar Blum,"Featuring an outdoor pool, a gym and a spa and wellness centre, Pastoral - Kfar Blum is located in the green and tranquil Kfar Blum Kibbutz.. It offers air-conditioned rooms with mountain views and free Wi-Fi access.Rooms here will provide you …Read more",1197.0,8.9,8.0,9.3,9.0,
Casa Boutique Hotel,"1 Sderot HaGaaton, Nahariyya",1 Sderot HaGaaton,Nahariyya,"Set in Nahariyya, 1 km from Sokolov Beach, Casa Boutique Hotel offers accommodation with a fitness centre, free private parking and a bar. Among the facilities at this property are a concierge service and a tour desk, along with free WiFi throughout …Read more",675.0,9.0,8.6,8.5,9.2,
Bikta Baglil,Shomera,Shomera,bla,"Bikta Baglil is situated in Shomera and has a private pool and mountain views. The accommodation features a spa bath. The chalet features rooms with air conditioning, free private parking and free WiFi.The chalet provides guests with a balcony, …Read more",770.0,9.4,9.3,9.3,9.3,
Herbert Samuel Bayit Bagalil Boutique,"PO Box 33, Hatzor haglilit",PO Box 33,Hatzor haglilit,"Set on a hilltop in Birya Forest, Bayit Bagalil  Boutique  Hotel offers panoramic views across the Sea of Galilee and Golan Heights. Its large garden features a swimming pool, heated during winter, plus a spa bath. Free access to gym and sauna …Read more",1357.0,8.0,7.4,9.2,8.2,123.0
Haifa Tower Hotel,"63 Herzl Street, Haifa",63 Herzl Street,Haifa,"Located in Haifa and with Haifa’s Municipal Theater reachable within 300 metres, Haifa Tower Hotel provides concierge services, non-smoking rooms, a restaurant, free WiFi and a bar. This 3-star hotel offers room service and a 24-hour front desk. …Read more",269.0,8.2,8.6,8.6,8.2,84.7
Dream Island Spa & Health Resort,"ת.ד קרית גת חמי יואב, Sede Yoav",ת.ד קרית גת חמי יואב,Sede Yoav,"Dream Island Spa & Health Resort is set in Sede Yoav and features a bar. Among the facilities at this property are room service and a 24-hour front desk, along with free WiFi throughout the property. The property has a year-round outdoor pool, …Read more",1923.0,8.9,8.2,9.0,9.1,
Cramim by Isrotel Exclusive,"Kibbutz Kiryat Anavim, Qiryat Anavim",Kibbutz Kiryat Anavim,Qiryat Anavim,"Set amidst vineyards on a peaceful countryside location, the Cramim by Isrotel Exclusive has a 3000 m² spa area with both indoor and outdoor swimming pools, a sauna and 23 treatment rooms. You can enjoy wine tasting and tapas at the stylish wine …Read more",1701.0,8.8,8.0,9.1,9.3,
Shefayim Kibbutz Hotel,"Kibbutz Shefayim, Kibbutz Shefayim",Kibbutz Shefayim,Kibbutz Shefayim,"The Shefayim has a convenient and tranquil position, 15 minute’s drive from Tel Aviv, even closer to Netanya, and only 5 minutes from Herzeliyas business districts.The hotel’s facilities include free wireless internet, children’s playground …Read more",571.0,7.2,8.8,9.3,9.2,
"Brown Lighthouse Eilat, a member of Brown Hotels","2 Hatmarim Street, Eilat",2 Hatmarim Street,Eilat,"Featuring a sun terrace, a swimming pool for adults as well as a kids pool and a childrens club, Brown Lighthouse Eilat, a member of Brown Hotels is located in the centre of Eilat, 10 minutes walk from the beach and from the shopping centre.Rooms …Read more",840.0,8.4,8.4,8.0,8.5,281.8
Arbel Guest House Shavit Family,"Arbel Village Lower Galillee, Arbel",Arbel Village Lower Galillee,Arbel,"Surrounded by gardens and fruit trees, Arbel Guest House features an outdoor swimming pool and a sun terrace. The spacious accommodation has a hydromassage bath and free Wi-Fi.The in-house chef prepares the extensive breakfast and evening meals …Read more",368.0,9.3,9.2,9.5,8.9,104.8
Fauzi Azar by Abraham,"Old City, Nazareth",Old City,Nazareth,"Located in the old city of Nazareth, the Fauzi Azar by Abraham is a 200-year-old Arab mansion. It offers dorms and guest rooms in a unique and charming old-world atmosphere. WiFi is available free of charge.The property is located in the Souk …Read more",714.0,8.7,8.6,9.4,8.7,84.6
green island,"Maale Gamla, Maale Gamla",Maale Gamla,Maale Gamla,"Green island features lake views, free WiFi and free private parking, located in Maale Gamla, 23 km from Mt of Beatitudes. The accommodation is air conditioned and is equipped with a spa bath.The lodge provides guests with a balcony, mountain …Read more",1310.0,9.6,9.4,9.8,9.8,
Ein Gedi Kibbutz Hotel,"Kibbutz Ein Gedi, Ein Gedi",Kibbutz Ein Gedi,Ein Gedi,"Kibbutz Hotel offers a great location,  just a 25-minute drive from the Dead Sea. Free private parking is possible on site.Rooms at the Ein Gedi Kibbutz Hotel are set in the rich botanical gardens. You will have in-room tea/coffee-making facilities …Read more",897.0,8.1,7.1,9.0,8.2,90.2
NYX Herzliya,"Abba Even Blvd. 19, Herzelia ",Abba Even Blvd. 19,Herzelia ,"Set in Herzliya, within 800 m of Reef Diving & Surfing Club and a 10-minute walk from Herzliya Marina, NYX Herzliya features free WiFi throughout. Popular points of interest nearby include Arena Mall and Dabuch Beach.Rooms at the hotel are equipped …Read more",873.0,8.5,8.2,8.8,8.8,
Hotel Anilevich Mansion,"9 Anielewicz Street, Beer Sheva",9 Anielewicz Street,Beer Sheva,"Situated in the old town of Beer Sheva, Hotel Anilevich Mansion provides air-conditioned rooms with free WiFi. All rooms feature a flat-screen TV with satellite channels and a private bathroom. The rooms are equipped with a patio.Guest rooms …Read more",500.0,7.7,7.8,8.6,8.0,
Grace Holon Guesthouse,"31 Yishaayahu Street, H̱olon",31 Yishaayahu Street,Holon,"Situated 8.3 km from Independence Hall Museum, Grace Holon Guesthouse offers air-conditioned accommodation with a patio. This sustainable guest house is located 8.6 km from Suzanne Dellal Center for Dance and Theater and 9.1 km from Nachalat Benyamin …Read more",399.0,8.3,8.4,8.2,8.7,7.2
"Publica Isrotel, Autograph Collection","Aba Even Street 9, Herzelia ",Aba Even Street 9,Herzelia ,"Publica Isrotel, Autograph Collection features a shared lounge, terrace, a restaurant and bar in Herzelia. Featuring a garden, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property has a seasonal …Read more",949.0,8.4,8.1,8.7,9.0,
Mantur West Galilee by Selina,"Kibbutz Lochamei Hagetaot, Loẖame HaGetaot",Kibbutz Lochamei Hagetaot,Lohame HaGetaot,"Featuring an on-site swimming pool and tennis courts, Mantur West Galilee by Selina is located in Lochamei Hagetot Kibbutz, 4 km from Acre and 6 km from Naharriya. It offers self-catering accommodation with a patio and free Wi-Fi.All accommodation …Read more",680.0,8.2,8.1,8.6,8.2,
Kibbutz Lotan Eco-Campus,"Kibbutz Lotan Eco Campus, Gerofit",Kibbutz Lotan Eco Campus,Gerofit,"Kibbutz Lotan Eco-Campus has a seasonal outdoor swimming pool, garden, a shared lounge and restaurant in Gerofit. There is a childrens playground and guests can make use of free WiFi and free private parking.At the inn, rooms have air conditioning …Read more",299.0,8.9,8.9,9.0,8.8,
Kedem Hotel," Park Monheim, Tirat Karmel", Park Monheim,Tirat Karmel,"Set in Tirat Karmel, 13 km from Haifa’s Municipal Theater, Kedem Hotel offers accommodation with an outdoor swimming pool, free private parking, a garden and a shared lounge. Among the various facilities of this property are a terrace, a bar and …Read more",1026.0,8.2,7.8,8.5,8.6,
Sapir Boutique Apartments,"113 קק""ל, Beer Sheva","113 קק""ל",Beer Sheva,"Located within 4 km of Ben Gurion University in Beer Sheva, Sapir Boutique Apartments provides accommodation with free WiFi and seating area. There is a private entrance at the apartment for the convenience of those who stay. The apartment features …Read more",479.0,8.3,8.5,8.5,8.5,
Carmel Forest by Isrotel Exclusive,"P.O. Box 9000, Bet Oren",P.O. Box 9000,Bet Oren,"With a unique location right in the middle of Carmel Forest, this luxury resort offers gourmet cuisine, extensive spa facilities and spacious rooms overlooking 15 acres of gardens and forest.Each room at Carmel Forest Spa Resort is air conditioned …Read more",2026.0,8.6,7.6,9.3,9.1,
ADVA Boutique,"1 HaYam Road מתחם M הדרך, Bet Yannay",1 HaYam Road מתחם M הדרך,Bet Yannay,"ADVA Boutique is situated in Bet Yannay, 1.4 km from Beit Yanai Beach and 36 km from Yarkon Park. The property is located 37 km from Yitzhak Rabin Center, 38 km from Kikar Ha-Medina and 39 km from Hashalom Train Station. Guests can grab a bite …Read more",474.0,8.2,8.0,7.7,8.6,
Zimeroni,"36 Ha-Meyasdim Street , Zikhron Yaaqov",36 Ha-Meyasdim Street ,Zikhron Yaaqov,"Zimeroni is situated in Zikhron Yaaqov, 39 km from Haifa’s Municipal Theater and features air-conditioned accommodation with free WiFi, as well as access to a terrace.The country house provides guests with a balcony, a seating area, satellite …Read more",415.0,9.0,9.1,9.8,9.2,
Glamping -420,"חוף קליה, Kalia",חוף קליה,Kalia,"Providing sea views, Glamping -420 in Kalia provides accommodation, an outdoor swimming pool, a bar and a private beach area.There is a fully equipped shared bathroom with shower and free toiletries.Continental and vegetarian breakfast options …Read more",735.0,9.2,8.5,9.4,9.3,
Dolphin Village - Sea Resort,"Moshav Shavei Zion, Shave Ẕiyyon",Moshav Shavei Zion,Shave Ziyyon,"Dolphin Village - Sea Resort is located in Moshav Shavei Zion, a short walk from a sandy beautiful beach.It offers free Wi-Fi, free parking, and free access to the beach.All rooms are designed and inspierd by the sandy beaches of Israel and …Read more",825.0,9.4,9.2,9.7,9.3,
"Brown BoBo, a member of Brown Hotels","42 Yavne Street, Tel Aviv",42 Yavne Street,Tel Aviv,"Set in Tel Aviv, 1.3 km from Aviv Beach, Brown BoBo, a member of Brown Hotels offers accommodation with a restaurant, free bar and a terrace.  parking not for free- 120 nis per nightThe property is situated less than 1 km from Independence Hall …Read more",690.0,8.2,8.1,9.3,8.5,0.0
Leonardo Plaza Ashdod,"HaYam Hatichon Blvd, Ashdod",HaYam Hatichon Blvd,Ashdod,"Located about 500 m from the beach and the promenade where many cafés and sports facilities can be found, the 4-star superior Leonardo Plaza Ashdod offers a seasonal outdoor swimming pool and a spa and wellness centre. Free WiFi access is available …Read more",891.0,6.8,8.8,9.3,9.2,33.7
Herods Dead Sea – A Premium Collection by Fattal Hotels,"Hamei Zohar Ein Bokek Neve Zohar, Neve Zohar",Hamei Zohar Ein Bokek Neve Zohar,Neve Zohar,"Offering a free spa and free WiFi throughout, Herods Dead Sea is a hotel on the Dead Sea Beach, across the Edom Mountains. Indoor and sulfur pools, Turkish bath and hot tub are featured in the spa area.At the Herods Dead Sea - A Premium Collection …Read more",1133.0,8.1,7.3,8.8,8.2,117.1
Mizpe Hayamim by Isrotel Exclusive,"P.O.B. 27, Rosh Pinna",P.O.B. 27,Rosh Pinna,"Mizpe Hayamim offers a spa, swimming pool, and panoramic terraces overlooking Galilee. Set between the artist colony of Rosh Pina and the historic city of Sefat, the property is also a 20-minute drive from the Sea of Galilee.Rooms at the luxurious …Read more",1585.0,8.9,7.9,9.3,9.1,122.0
Eden Inn,"Derech Aharon 2, Zikhron Yaaqov",Derech Aharon 2,Zikhron Yaaqov,"Featuring an outdoor swimming pool, Eden Inn is located in Zikhron Yaaqov, 1.5 km from Habaron Promenade. Surrounded by the lush garden, it offers air-conditioned rooms with a flat-screen cable TV. Free WiFi is provided in the lobby.Amenities …Read more",487.0,7.7,8.0,8.7,7.9,
Abraham Jerusalem,"67 Haneviim Street, Davidka Square, Jerusalem",67 Haneviim Street,Jerusalem,"The Abraham Jerusalem is located in Davidka Square, 350 m from Mahne Yehuda Market. It offers private rooms and dormitories with free WiFi and air conditioning.Rooms at the Abraham Hostel have a private bathroom. Dormitories include private …Read more",559.0,8.5,8.5,9.3,8.4,53.8
The Village- Jordan Riverside Travel Hotel,"D.N. Galil Elion 12145 SDE Nehemia, Sede Neẖemya",D.N. Galil Elion 12145 SDE Nehemia,Sede Nehemya,"Offering a large outdoor swimming pool, The Village- Jordan Riverside Travel Hotel is set in Sde Nehemia, a small kibbutz in Upper Galilee. Rafting and boat trips are available along the River Jordan.A buffet breakfast is served here each morning …Read more",542.0,8.6,8.2,9.4,8.7,
West All Suites Hotel Ashdod,"Tayelet 21, Ashdod",Tayelet 21,Ashdod,West All Suites Hotel Ashdod is a 9-storey building facing the Mediterranean Sea on the seaside promenade of Ashdod. The spacious suites offer a balcony or terrace. Parking is free.Suites at West All Suites Hotel Ashdod include a bedroom with …Read more,855.0,8.3,7.9,9.2,8.7,33.7
Zimer Al-Bayt,"ram pool, Masade",ram pool,Masade,"Set in Masade in the North District Israel region and The Banias Waterfall reachable within 14 km, Zimer Al-Bayt offers accommodation with free WiFi, BBQ facilities, a garden and free private parking.All units come with a terrace with city …Read more",600.0,8.6,8.7,9.6,8.5,
Desert View,"1 Nakhal Ein Bokek St, Yeroẖam",1 Nakhal Ein Bokek St,Yeroham,"Situated in Yeroẖam, 1 km from Yeroham Lake, Desert View offers a barbecue and hot tub. Free WiFi is provided throughout the property and free private parking is available on site.All units include a seating area. Some units have a dining area …Read more",470.0,8.9,8.9,9.0,8.9,
Layla Glamping,Nir Dawid,Nir Dawid,bla,"Boasting a terrace with mountain views, a fitness centre and an indoor pool, Layla Glamping can be found in Nir Dawid, close to Gan HaShlosa National Park and 34 km from The Church of the Annunciation. This luxury tent offers air-conditioned accommodation …Read more",793.0,9.1,8.7,9.7,9.2,
Eretz Zeelim,"Kibutz Zeelim, Ẕeelim",Kibutz Zeelim,Zeelim,"Located in Ẕeelim, 46 km from Ben Gurion University, Eretz Zeelim provides accommodation with free bikes, free private parking, a seasonal outdoor swimming pool and a garden. With a shared lounge, the property also features a bar, as well as …Read more",581.0,7.7,7.2,8.2,7.9,
The Setai Sea Of Galilee,"Hof Zeelon, En Gev",Hof Zeelon,En Gev,"Set 6 km from En Gev, Setai Sea Of Galilee features free WiFi access and free private parking. The hotel has an infinity pool and spa centre, and guests can enjoy a drink at the bar.Each room is equipped with a Smart TV and a coffee machine …Read more",2388.0,8.8,8.4,9.4,9.0,
בית קסום בשדה נחמיה,"שדה נחמיה, Sede Neẖemya",שדה נחמיה,Sede Nehemya,"Boasting a garden, a terrace, and barbecue facilities, בית קסום בשדה נחמיה offers accommodation in Sede Neẖemya with free WiFi and mountain views. Featuring free private parking, the villa is in an area where guests can engage in activities such …Read more",2050.0,9.7,9.3,9.7,9.8,
Mirabelle Plaza Haifa By Dan Hotels,"111 Yafe Nof St., Haifa",111 Yafe Nof St.,Haifa,"Set on the green slopes of Mount Carmel, this Meribelle Plaza offers panoramic views of Haifa and the Bay. All rooms come with air conditioning, free Wi-Fi, and an LCD TV. Free tours of the Bahai Gardens are provided.The rooms are equipped with …Read more",538.0,7.5,7.3,8.6,8.0,84.7
Golden Crown Haifa,"Derech Jaffa 115, Haifa",Derech Jaffa 115,Haifa,"Golden Crown Haifa is set in Haifa, 2 km from Haifa’s Municipal Theater, and features a terrace as well as a bar. The property is close to popular attractions like Haifa Port, The Quiet Beach and Rambam Medical Center Haifa Israel.All air conditioned, …Read more",799.0,8.3,8.0,9.0,8.7,84.7
Queen of Sheba Eilat,"8 Antib Road, North Shore, Eilat",8 Antib Road,Eilat,"Unique, luxurious, and impressive, the Queen of Sheba is one of Eilats grandest hotels, offering a superb location overlooking the Red Sea.You can enjoy the hotels own shopping mall and swimming pool overlooking the sea.Eilat Queen of Sheba …Read more",1460.0,8.1,7.7,9.3,8.5,281.8
Touchwood,"27 Kineret Street, Livnim",27 Kineret Street,Livnim,"Set 11 km from Mt of Beatitudes, Touchwood offers an outdoor swimming pool, a garden and air-conditioned accommodation with a balcony and free WiFi. The accommodation features a hot tub and a spa bath.The lodge provides guests with a terrace, …Read more",616.0,8.3,8.1,8.9,8.8,110.1
Vert Lagoon Netanya,"Kehilat Tzfat St., Netanya",Kehilat Tzfat St.,Netanya,"Treat yourselves to a moment of beauty where the landscape’s green meets the blue sea.Our new VERT Lagoon Hotel, located high on the Netanya bluffs, overlooks the sparkling Mediterranean Sea. Vert Lagoon, Netanya’s most exclusive hotel, is the …Read more",1115.0,8.2,7.9,9.0,8.4,29.1
The Grape House,"Louis HaTshii Street, Akko",Louis HaTshii Street,Akko,"Set in Akko, 1.6 km from Akko Beach and 4.7 km from The Bahá’í Gardens in Akko, The Grape House offers accommodation with free WiFi, air conditioning, a garden and a terrace.All units come with a fridge, minibar, a coffee machine, a stovetop …Read more",462.0,8.1,8.3,9.0,8.5,
